source_file,identifier,title,creation_date,source_url,description,creators,location,medium,subjects,type,rights,image_url
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.36052.json,2017686535,"Public library building in the town of Antonito in Conejos County, Colorado, near the New Mexico border",['2015-09-30.'],https://www.loc.gov/item/2017686535/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['colorado', 'antonito', 'united states', 'conejos county']",['Digital photographs--Color--2010-2020'],"['United States--Colorado--Conejos County--Antonito', 'America', 'Library buildings']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:36000:36052/full/pct:25/0/default.jpg#h=1448&w=2172
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.41101.json,2016631919,"Modernist stairway and bookstacks inside the Allen County Public Library in Fort Wayne, Indiana",['2016-09-24.'],https://www.loc.gov/item/2016631919/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['fort wayne', 'allen county', 'united states', 'indiana']",['Digital photographs--Color--2010-2020'],"['United States--Indiana--Allen County--Fort Wayne', 'America', 'Allen County Public Library', 'Public libraries', 'Libraries']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:41100:41101/full/pct:25/0/default.jpg#h=1448&w=2172
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.42123.json,2016632941,"An upright polar bear in Cincinnati, Ohio not at the zoo, since it's stuffed, or at the city's Museum Center, which owns the specimen, but at Cincinnati's main library",['2016-10-15.'],https://www.loc.gov/item/2016632941/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['ohio', 'hamilton county', 'cincinnati', 'united states']",['Digital photographs--Color--2010-2020'],"['United States--Ohio--Hamilton County--Cincinnati', 'America', 'Polar bears', 'Cincinnati Main Library', 'Libraries', 'Polar bear exhibits']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.43863.json,2017880767,Historic library in the North Carolina Capitol in Raleigh,['2017-06-05.'],https://www.loc.gov/item/2017880767/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['raleigh', 'wake county', 'united states', 'north carolina']",['Digital photographs--Color--2010-2020'],"['United States--North Carolina--Wake County--Raleigh', 'America', 'North Carolina Capitol', 'North Carolina capitol library', 'Capitols']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:43800:43863/full/pct:25/0/default.jpg#h=2117&w=2822
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.48241.json,2017884872,"The Cook Memorial Library, the public library of Tamworth, New Hampshire. The 1895 Queen Anne Victorian building began as a private ""social library"" established by Parson Samuel Hidden; the building was given to the village in memory of Charles Cook, a prominent local businessman and politician",['2017-09-22.'],https://www.loc.gov/item/2017884872/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['tamworth', 'united states', 'new hampshire']",['Digital photographs--Color--2010-2020'],"['United States--New Hampshire--Tamworth', 'America', 'Cook Memorial library', 'Public libraries', 'Libraries', 'Queen Anne Style', 'Charles Cook']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:48200:48241/full/pct:25/0/default.jpg#h=2380&w=1945
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.49335.json,2018663053,"Even a sculpted gila monster appears to be into reading near a Little Free Library (also known as a ""birdhouse library"") in the modest Dunbar Spring neighborhood of Tucson, Arizona",['2018-03-15.'],https://www.loc.gov/item/2018663053/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['tucson', 'arizona', 'united states']",['Digital photographs--Color--2010-2020'],"['United States--Arizona--Tucson', 'America', 'Little free libraries', 'Birdhouse libraries', 'Gila monster sculptures', 'Hirotsune Tashima', 'Jason Butler', 'Dunbar Spring neighborhood']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.50410.json,2018698612,"You wouldn't guess that this is a public library, but it is, in the little Wenatchee National Forest town of [Skykomish], Washington",['2018-05-13.'],https://www.loc.gov/item/2018698612/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['washington', 'washington (state)', 'king county', 'skykomish', 'united states']",['Digital photographs--Color--2010-2020'],"['United States--Washington (State)--King County--Skykomish', 'America', 'Skykomish Public Library', 'Libraries', 'Wenatchee National Forest']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.51772.json,2018699890,"The Route 9 Library and Innovation Center in New Castle, Delaware, defines itself as ""a community learning and resource hub""",['2018-07-14.'],https://www.loc.gov/item/2018699890/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['delaware', 'new castle county', 'united states', 'new castle']",['Digital photographs--Color--2010-2020'],"['United States--Delaware--New Castle County--New Castle', 'America', 'Route 9 Library and Innovation Center', 'Public libraries']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.53335.json,2019631085,"Library. Herbert Hoover Federal Building located in downtown Washington, D.C.",['2018-09-20.'],https://www.loc.gov/item/2019631085/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['washington (d.c.)', 'united states', 'washington d.c.', 'district of columbia']",['Digital photographs--Color--2010-2020'],"['United States--District of Columbia--Washington (D.C.)', 'Herbert Hoover Federal Building', 'Federal buildings', 'GSA', 'Commerce Building', 'James A. Wetmore', 'Libraries', 'America']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.60215.json,2020723718,"The public library, with a creative book-themed facade, in the small city of Houston, Minnesota",['2019-10-28.'],https://www.loc.gov/item/2020723718/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['houston', 'united states', 'minnesota']",['Digital photographs--Color--2010-2020'],"['United States--Minnesota --Houston', 'America', 'Houston Minnesota Public library', 'Public libraries']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-highsm.64003.json,2020722343,"An appropriately decorated ""Bookmobile"" bus belonging to the Perry County Public Library in Hazard, a coal town of 4,500 or so population in the hills of southeastern Kentucky",['2020-07-19.'],https://www.loc.gov/item/2020722343/,Not found,"['Highsmith, Carol M., 1946-, photographer']","['hazard', 'perry county', 'united states', 'kentucky']",['Digital photographs--Color--2020'],"['United States--Kentucky --Perry County --Hazard', 'America', 'Bookmobiles', 'Perry County Public Library', 'Oliver Hazard Perry']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",No known restrictions on publication.,Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-mrg.00432.json,2017702546,"Nampa Public Library, 11th Avenue, Nampa, Idaho",['2004.'],https://www.loc.gov/item/2017702546/,Not found,"['Margolies, John, photographer']","['idaho', 'united states', 'nampa']",['Slides--2000-2010.--Color'],"['Libraries--2000-2010', 'United States--Idaho--Nampa']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}","No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html",Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-mrg.00785.json,2017702899,"Parmly Billings Library (Western Heritage Center), angle 1, Montana Avenue, Billings, Montana",['2004.'],https://www.loc.gov/item/2017702899/,Not found,"['Margolies, John, photographer']","['montana', 'united states', 'billings']",['Slides--2000-2010.--Color'],"['Libraries--2000-2010', 'Galleries & museums--2000-2010', 'United States--Montana--Billings']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}","No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html",Did not identify a URL.
/Users/julia.cave.arbanas/si676-2024-data/collection_project/item_metadata/item_metadata-mrg.00788.json,2017702902,"Library, Dickason Street, Columbus, Wisconsin",['2008.'],https://www.loc.gov/item/2017702902/,Not found,"['Margolies, John, photographer']","['united states', 'wisconsin', 'columbus']",['Slides--2000-2010.--Color'],"['Libraries--2000-2010', 'United States--Wisconsin--Columbus']","{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}","No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html",Did not identify a URL.
